Customer ID,VMail_Message,Day_Mins,Day_Calls,Day_Charge,Eve_Mins,Eve_Calls,Eve_Charge,Night_Mins,Night_Calls,Night_Charge,Intl_Mins,total_Mins,Intl_Calls,Intl_Charge,Total_Charge,CustServ_Calls
9323a0a9273b4f1e,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,717.2,3,2.7,75.56,1
926c851dbe8e87fe,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,625.2,3,3.7,59.24,1
937b3d3eac05bdca,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,539.4,5,3.29,62.29,0
73ef0ab47c05976,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,564.8,7,1.78,66.8,2
6e79790b59e2280,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,512.0,3,2.73,52.09,3
92c865e3b9ff52bd,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,654.2,6,1.7,67.61,0
930f60a7f72ba9b3,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,786.8,7,2.03,78.31,3
93d56df307c9c4dc,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,479.0,6,1.92,46.9,0
92c67c6b0ebdfeea,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,760.6,4,2.35,73.32,1
93c4eb2948b5367a,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,818.2,5,3.02,80.54,0
68cc4bc8b76857f,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,579.1,6,3.43,54.2,4
6e4f4b510c7d831,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,556.2,5,2.46,57.08,0
948c761a888625ea,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,386.0,2,3.02,40.19,1
79bf83557100a05,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,608.8,5,3.32,59.64,3
683fe5013ca7bd1,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,644.0,6,3.54,59.31,4
94789ed1e9d1b28e,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,816.7,9,1.46,92.29,4
74146bb5f857f98,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,580.4,4,3.73,65.02,1
796fdbb925c7c61,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,546.6,3,2.19,58.99,3
6eb2195a1e05be8,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,578.2,5,2.7,60.5,1
6e246fdb1733f82,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,589.7,2,3.51,63.9,1
93d4c34d0a25c175,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,614.2,4,2.86,59.0,0
6ec4d01ff8c644f,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,447.6,6,1.54,36.02,5
9365aeea76510c64,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,447.2,19,2.57,48.06,0
92b5ad9cc9300ffd,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,445.0,6,2.08,41.05,2
936d6765f204be50,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,573.6,2,2.78,48.08,0
94db9085b10a8b7e,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,667.6,5,4.19,60.15,3
639abf203cae56c,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,596.3,3,2.57,63.24,0
62ffb476ae69d7c,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,406.6,4,3.97,44.61,3
51582f67e1672a2,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,636.0,6,1.7,64.12,0
5e3c4e019a636c6,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,524.2,1,3.0,49.6,1
93c67c38bf3b3843,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,486.2,6,3.83,41.14,2
6e77d31d81ee962,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,684.1,5,2.78,69.43,1
94d58a6f598464da,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,549.1,10,3.4,55.29,3
4bff8f4bb74e460,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,794.0,3,3.19,79.68,1
638e0b715f01246,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,593.6,4,2.24,58.49,0
